"transaction_id,account_id,transaction_date,transaction_type,amount,transaction_mode,remarks"
"T060,A019,2026-06-30,Deposit,50000,NEFT,Salary credit"
"T061,A020,2026-01-14,Deposit,75000,NEFT,Salary credit"
"T062,A020,2026-03-11,Withdrawal,22000,UPI,Household expense"
"T063,A020,2026-05-19,Deposit,60000,Cheque,Cheque deposit"
"T064,A021,2026-01-09,Deposit,140000,RTGS,Business receipt"
"T065,A021,2026-02-23,Withdrawal,45000,Cheque,Supplier payment"
"T066,A021,2026-04-15,Deposit,125000,NEFT,Client payment"
"T067,A021,2026-07-12,Deposit,105000,RTGS,Sales collection"
"T068,A022,2026-02-11,Deposit,32000,UPI,Salary credit"
"T069,A022,2026-05-08,Withdrawal,14000,ATM,Cash withdrawal"
"T070,A023,2026-01-27,Deposit,41000,NEFT,Salary credit"
"T071,A023,2026-03-25,Withdrawal,17000,UPI,EMI payment"
"T072,A024,2026-02-17,Deposit,58000,NEFT,Salary credit"
"T073,A024,2026-04-24,Withdrawal,18000,UPI,Personal expense"
"T074,A025,2026-01-04,Deposit,85000,RTGS,Business receipt"
"T075,A025,2026-03-08,Withdrawal,30000,Cheque,Vendor payment"
"T076,A025,2026-06-05,Deposit,95000,NEFT,Client payment"
"T077,A026,2026-01-22,Deposit,35000,UPI,Salary credit"
"T078,A026,2026-02-25,Withdrawal,12000,UPI,Bill payment"
"T079,A027,2025-08-10,Deposit,30000,NEFT,Salary credit"
"T080,A027,2025-11-12,Withdrawal,10000,ATM,Cash withdrawal"
"T081,A028,2026-01-18,Deposit,100000,RTGS,Investment return"
"T082,A028,2026-03-16,Withdrawal,25000,UPI,Travel expense"
"T083,A028,2026-06-24,Deposit,80000,NEFT,Consulting income"
"T084,A029,2026-02-07,Deposit,65000,NEFT,Business receipt"
"T085,A029,2026-04-18,Withdrawal,22000,UPI,Operating expense"
"T086,A030,2026-01-28,Deposit,28000,UPI,Salary credit"
"T087,A030,2026-03-06,Withdrawal,11000,ATM,Cash withdrawal"
"T088,A031,2026-02-01,Deposit,46000,NEFT,Salary credit"
"T089,A031,2026-05-30,Withdrawal,19000,UPI,EMI payment"
"T090,A032,2026-01-13,Deposit,52000,NEFT,Salary credit"
"T091,A032,2026-04-09,Withdrawal,16000,UPI,Personal expense"
"T092,A033,2026-02-22,Deposit,115000,RTGS,Business receipt"
"T093,A033,2026-03-27,Withdrawal,42000,Cheque,Supplier payment"
"T094,A033,2026-06-20,Deposit,130000,NEFT,Client payment"
"T095,A034,2026-01-26,Deposit,45000,UPI,Salary credit"
"T096,A034,2026-03-15,Withdrawal,14000,UPI,Personal expense"
"T097,A034,2026-06-08,Deposit,50000,NEFT,Salary credit"
"T098,A035,2026-01-17,Deposit,36000,NEFT,Salary credit"
"T099,A035,2026-02-19,Withdrawal,15000,UPI,EMI payment"
"T100,A035,2026-05-21,Deposit,38000,NEFT,Salary credit"
"T101,A036,2026-01-06,Deposit,70000,NEFT,Salary credit"
"T102,A036,2026-02-16,Withdrawal,20000,UPI,Home expense"
"T103,A036,2026-04-14,Deposit,65000,NEFT,Salary credit"
"T104,A036,2026-06-26,Withdrawal,18000,ATM,Cash withdrawal"
"T105,A037,2026-01-10,Deposit,105000,RTGS,Business receipt"
"T106,A037,2026-03-12,Withdrawal,38000,Cheque,Supplier payment"
"T107,A037,2026-05-22,Deposit,95000,NEFT,Client payment"
"T108,A037,2026-07-15,Withdrawal,27000,UPI,Operating expense"
"T109,A038,2026-02-04,Deposit,42000,UPI,Salary credit"
"T110,A038,2026-03-19,Withdrawal,13000,ATM,Cash withdrawal"
"T111,A038,2026-06-11,Deposit,48000,NEFT,Salary credit"
"T112,A039,2026-01-23,Deposit,44000,NEFT,Salary credit"
"T113,A039,2026-02-24,Withdrawal,18000,UPI,EMI payment"
"T114,A039,2026-05-27,Deposit,46000,NEFT,Salary credit"
"T115,A040,2026-01-15,Deposit,52000,NEFT,Salary credit"
"T116,A040,2026-03-04,Withdrawal,17000,UPI,Personal expense"
"T117,A040,2026-06-17,Deposit,55000,Cheque,Cheque deposit"
"T118,A041,2026-01-02,Deposit,160000,RTGS,Business receipt"
"T119,A041,2026-02-12,Withdrawal,50000,Cheque,Supplier payment"
"T120,A041,2026-04-16,Deposit,135000,NEFT,Client payment"
"T121,A041,2026-06-25,Deposit,125000,RTGS,Sales collection"
"T122,A042,2026-02-05,Deposit,34000,UPI,Salary credit"
"T123,A042,2026-04-11,Withdrawal,12000,ATM,Cash withdrawal"
"T124,A042,2026-07-06,Deposit,36000,NEFT,Salary credit"
"T125,A043,2026-01-20,Deposit,47000,NEFT,Salary credit"
"T126,A043,2026-03-24,Withdrawal,16000,UPI,EMI payment"
"T127,A043,2026-06-23,Deposit,49000,NEFT,Salary credit"
"T128,A044,2026-02-08,Deposit,62000,NEFT,Salary credit"
"T129,A044,2026-04-20,Withdrawal,19000,UPI,Personal expense"
"T130,A044,2026-06-28,Deposit,58000,Cheque,Cheque deposit"
"T131,A045,2026-01-29,Deposit,85000,RTGS,Business receipt"
"T132,A045,2026-03-09,Withdrawal,33000,Cheque,Vendor payment"
"T133,A045,2026-05-18,Deposit,90000,NEFT,Client payment"
"T134,A046,2025-10-05,Deposit,30000,UPI,Salary credit"
"T135,A046,2025-12-15,Withdrawal,12000,ATM,Cash withdrawal"
"T136,A047,2026-01-24,Deposit,40000,NEFT,Salary credit"
"T137,A047,2026-02-26,Withdrawal,15000,UPI,EMI payment"
"T138,A047,2026-06-07,Deposit,43000,NEFT,Salary credit"
"T139,A048,2026-01-09,Deposit,130000,RTGS,Investment return"
"T140,A048,2026-03-13,Withdrawal,28000,UPI,Travel expense"
"T141,A048,2026-05-24,Deposit,115000,NEFT,Consulting income"
"T142,A049,2026-02-03,Deposit,75000,NEFT,Business receipt"
"T143,A049,2026-04-07,Withdrawal,26000,UPI,Operating expense"
"T144,A049,2026-06-19,Deposit,85000,RTGS,Client payment"
"T145,A050,2026-01-18,Deposit,32000,UPI,Salary credit"
"T146,A050,2026-03-21,Withdrawal,12000,ATM,Cash withdrawal"
"T147,A050,2026-06-14,Deposit,35000,NEFT,Salary credit"
"T148,A051,2026-01-05,Deposit,50000,NEFT,Fixed deposit interest"
"T149,A051,2026-04-05,Deposit,55000,NEFT,Fixed deposit interest"
"T150,A051,2026-07-05,Deposit,60000,NEFT,Fixed deposit interest"
"T151,A052,2026-01-14,Deposit,40000,NEFT,Salary credit"
"T152,A052,2026-03-18,Withdrawal,15000,UPI,Personal expense"
"T153,A052,2026-06-21,Deposit,45000,NEFT,Salary credit"
"T154,A053,2026-02-10,Deposit,75000,NEFT,Fixed deposit interest"
"T155,A053,2026-05-10,Deposit,80000,NEFT,Fixed deposit interest"
"T156,A054,2026-01-07,Deposit,100000,NEFT,Fixed deposit interest"
"T157,A054,2026-04-07,Deposit,105000,NEFT,Fixed deposit interest"
"T158,A054,2026-07-07,Deposit,110000,NEFT,Fixed deposit interest"
"T159,A055,2026-02-15,Deposit,38000,NEFT,Salary credit"
"T160,A055,2026-04-22,Withdrawal,14000,UPI,Bill payment"
"T161,A055,2026-06-30,Deposit,42000,NEFT,Salary credit"
"T162,A056,2026-01-12,Deposit,60000,NEFT,Salary credit"
"T163,A056,2026-03-17,Withdrawal,18000,UPI,Personal expense"
"T164,A056,2026-06-16,Deposit,65000,NEFT,Salary credit"
"T165,A057,2026-01-08,Deposit,65000,NEFT,Fixed deposit interest"
"T166,A057,2026-04-08,Deposit,70000,NEFT,Fixed deposit interest"
"T167,A057,2026-07-08,Deposit,75000,NEFT,Fixed deposit interest"
"T168,A058,2026-02-06,Deposit,48000,NEFT,Salary credit"
"T169,A058,2026-04-13,Withdrawal,16000,UPI,Personal expense"
"T170,A058,2026-06-24,Deposit,52000,NEFT,Salary credit"
"T171,A059,2026-01-15,Deposit,55000,NEFT,Fixed deposit interest"
"T172,A059,2026-04-15,Deposit,60000,NEFT,Fixed deposit interest"
"T173,A059,2026-07-15,Deposit,65000,NEFT,Fixed deposit interest"
"T174,A060,2026-02-01,Deposit,70000,NEFT,Salary credit"
"T175,A060,2026-03-29,Withdrawal,20000,UPI,Home expense"
"T176,A060,2026-06-27,Deposit,75000,NEFT,Salary credit"
"T177,A061,2026-01-16,Deposit,50000,NEFT,Salary credit"
"T178,A061,2026-03-20,Withdrawal,17000,UPI,Personal expense"
"T179,A061,2026-06-18,Deposit,54000,NEFT,Salary credit"
"T180,A062,2026-01-11,Deposit,85000,NEFT,Fixed deposit interest"
"T181,A062,2026-04-11,Deposit,90000,NEFT,Fixed deposit interest"
"T182,A062,2026-07-11,Deposit,95000,NEFT,Fixed deposit interest"
"T183,A063,2026-02-09,Deposit,45000,NEFT,Salary credit"
"T184,A063,2026-04-17,Withdrawal,15000,UPI,Personal expense"
"T185,A063,2026-06-22,Deposit,50000,NEFT,Salary credit"
"T186,A064,2026-01-13,Deposit,65000,NEFT,Salary credit"
"T187,A064,2026-03-23,Withdrawal,22000,UPI,Personal expense"
"T188,A064,2026-06-29,Deposit,70000,NEFT,Salary credit"
"T189,A065,2026-01-17,Deposit,70000,NEFT,Fixed deposit interest"
"T190,A065,2026-04-17,Deposit,75000,NEFT,Fixed deposit interest"
"T191,A065,2026-07-17,Deposit,80000,NEFT,Fixed deposit interest"
"T192,A066,2026-02-12,Deposit,55000,NEFT,Salary credit"
"T193,A066,2026-04-19,Withdrawal,18000,UPI,Personal expense"
"T194,A066,2026-06-25,Deposit,60000,NEFT,Salary credit"
"T195,A067,2026-01-04,Deposit,120000,RTGS,Business receipt"
"T196,A067,2026-02-21,Withdrawal,35000,Cheque,Supplier payment"
"T197,A067,2026-04-25,Deposit,105000,NEFT,Client payment"
"T198,A067,2026-07-09,Deposit,115000,RTGS,Sales collection"
"T199,A068,2026-01-19,Deposit,60000,NEFT,Fixed deposit interest"
"T200,A068,2026-04-19,Deposit,65000,NEFT,Fixed deposit interest"
"T201,A068,2026-07-19,Deposit,70000,NEFT,Fixed deposit interest"
"T202,A069,2026-01-22,Deposit,90000,NEFT,Fixed deposit interest"
"T203,A069,2026-04-22,Deposit,95000,NEFT,Fixed deposit interest"
"T204,A069,2026-07-22,Deposit,100000,NEFT,Fixed deposit interest"
"T205,A070,2026-02-02,Deposit,48000,NEFT,Salary credit"
"T206,A070,2026-03-28,Withdrawal,16000,UPI,Personal expense"
"T207,A070,2026-06-26,Deposit,52000,NEFT,Salary credit"
"T208,A003,2026-07-14,Withdrawal,11000,UPI,Shopping payment"
"T209,A006,2026-07-18,Deposit,25000,UPI,Salary credit"
"T210,A014,2026-06-26,Deposit,35000,NEFT,Salary credit"
"T211,A018,2026-07-04,Withdrawal,14000,UPI,Personal expense"
"T212,A022,2026-07-16,Deposit,34000,NEFT,Salary credit"
"T213,A024,2026-06-12,Deposit,55000,NEFT,Salary credit"
"T214,A026,2026-07-10,Withdrawal,13000,UPI,Personal expense"
"T215,A030,2026-06-20,Deposit,30000,UPI,Salary credit"
"T216,A032,2026-07-13,Deposit,58000,NEFT,Salary credit"
"T217,A034,2026-07-25,Withdrawal,17000,UPI,Personal expense"
"T218,A038,2026-07-11,Withdrawal,15000,UPI,Personal expense"
"T219,A040,2026-07-03,Withdrawal,19000,UPI,Household expense"
"T220,A042,2026-07-21,Withdrawal,11000,UPI,Bill payment"
"T221,A044,2026-07-14,Withdrawal,20000,UPI,Personal expense"
"T222,A047,2026-07-17,Withdrawal,16000,UPI,EMI payment"
"T223,A050,2026-07-24,Withdrawal,10000,ATM,Cash withdrawal"
"T224,A052,2026-07-09,Withdrawal,18000,UPI,Personal expense"
"T225,A055,2026-07-12,Withdrawal,15000,UPI,Bill payment"
"T226,A056,2026-07-20,Withdrawal,20000,UPI,Personal expense"
"T227,A058,2026-07-23,Withdrawal,17000,UPI,Personal expense"
"T228,A060,2026-07-26,Withdrawal,22000,UPI,Home expense"
"T229,A061,2026-07-28,Withdrawal,16000,UPI,Personal expense"
"T230,A063,2026-07-27,Withdrawal,14000,UPI,Personal expense"
"T231,A064,2026-07-30,Withdrawal,21000,UPI,Personal expense"
"T232,A066,2026-07-29,Withdrawal,19000,UPI,Personal expense"
"T233,A070,2026-07-31,Withdrawal,15000,UPI,Personal expense"
"T234,A005,2026-07-23,Withdrawal,60000,Cheque,Supplier payment"
"T235,A009,2026-07-24,Withdrawal,70000,Cheque,Vendor payment"
"T236,A017,2026-07-25,Withdrawal,85000,Cheque,Supplier payment"
"T237,A029,2026-07-26,Withdrawal,75000,Cheque,Vendor payment"
"T238,A033,2026-07-27,Withdrawal,90000,Cheque,Supplier payment"
"T239,A037,2026-07-28,Withdrawal,80000,Cheque,Vendor payment"
"T240,A041,2026-07-29,Withdrawal,95000,Cheque,Supplier payment"
"T241,A045,2026-07-30,Withdrawal,65000,Cheque,Vendor payment"
"T242,A049,2026-07-31,Withdrawal,70000,Cheque,Supplier payment"
"T243,A004,2026-07-05,Deposit,25000,UPI,Refund received"
"T244,A012,2026-07-18,Withdrawal,22000,UPI,Insurance payment"
"T245,A020,2026-07-22,Withdrawal,30000,UPI,Medical expense"
"T246,A025,2026-07-24,Deposit,75000,RTGS,Sales collection"
"T247,A028,2026-07-26,Deposit,65000,NEFT,Consulting income"
"T248,A036,2026-07-27,Deposit,55000,NEFT,Salary credit"
"T249,A048,2026-07-28,Deposit,100000,RTGS,Investment return"
"T250,A051,2026-07-31,Deposit,65000,NEFT,Fixed deposit interest"
